ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC1117EW0230,Count,Person,"75 oed, Gwrywod"
DC1117EW0231,Count,Person,"75 oed, Benywod"
DC1117EW0232,Count,Person,"76 oed, Pob categori: Rhyw"
DC1117EW0233,Count,Person,"76 oed, Gwrywod"
DC1117EW0234,Count,Person,"76 oed, Benywod"
DC1117EW0235,Count,Person,"77 oed, Pob categori: Rhyw"
DC1117EW0236,Count,Person,"77 oed, Gwrywod"
DC1117EW0237,Count,Person,"77 oed, Benywod"
DC1117EW0238,Count,Person,"78 oed, Pob categori: Rhyw"
DC1117EW0239,Count,Person,"78 oed, Gwrywod"
DC1117EW0240,Count,Person,"78 oed, Benywod"
DC1117EW0241,Count,Person,"79 oed, Pob categori: Rhyw"
DC1117EW0242,Count,Person,"79 oed, Gwrywod"
DC1117EW0243,Count,Person,"79 oed, Benywod"
DC1117EW0244,Count,Person,"80 oed, Pob categori: Rhyw"
DC1117EW0245,Count,Person,"80 oed, Gwrywod"
DC1117EW0246,Count,Person,"80 oed, Benywod"
DC1117EW0247,Count,Person,"81 oed, Pob categori: Rhyw"
DC1117EW0248,Count,Person,"81 oed, Gwrywod"
DC1117EW0249,Count,Person,"81 oed, Benywod"
DC1117EW0250,Count,Person,"82 oed, Pob categori: Rhyw"
DC1117EW0251,Count,Person,"82 oed, Gwrywod"
DC1117EW0252,Count,Person,"82 oed, Benywod"
DC1117EW0253,Count,Person,"83 oed, Pob categori: Rhyw"
DC1117EW0254,Count,Person,"83 oed, Gwrywod"
DC1117EW0255,Count,Person,"83 oed, Benywod"
DC1117EW0256,Count,Person,"84 oed, Pob categori: Rhyw"
DC1117EW0257,Count,Person,"84 oed, Gwrywod"
DC1117EW0258,Count,Person,"84 oed, Benywod"
DC1117EW0259,Count,Person,"85 oed a throsodd, Pob categori: Rhyw"
DC1117EW0260,Count,Person,"85 oed a throsodd, Gwrywod"
DC1117EW0261,Count,Person,"85 oed a throsodd, Benywod"
