ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
GeographyCode,,,Geography Code
DC1117EW0086,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_027, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0087,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_027, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0088,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_028, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0089,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_028, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0090,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_028, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0091,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_029, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0092,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_029, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0093,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_029, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0094,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_030, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0095,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_030, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0096,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_030, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0097,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_031, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0098,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_031, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0099,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_031, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0100,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_032, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0101,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_032, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0102,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_032, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0103,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_033, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0104,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_033, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
